ZipCode,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
77494,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1606.2064059847085,1612.779843800237,1622.2015749806917,1630.392426896975,1632.4114996063,1636.2068640117136,1644.8946324471192,1643.3907615797148,1636.9714433551806,1620.7567087172454,1613.3300348762225,1595.8753031423084,1587.956333752364,1571.7228985098825,1580.2260107737538,1577.360510507575,1575.0192487863355,1570.4372520062666,1560.5709806532782,1559.473860473081,1550.0386365492284,1532.579830961061,1510.2422126749957,1486.489732623613,1507.8020591178574,1533.9724040515812,1560.7754004334588,1560.9215165982737,1569.898259981925,1578.1468222644,1578.91374313332,1567.9217301088613,1577.3555140669032,1590.264504128533,1606.4993196439225,1604.4213177976117,1611.8998071354013,1618.2933178524454,1621.7618076089495,1617.7807282549138,1614.8019311779285,1615.5326341250825,1611.4480670717865,1601.793861197638,1590.6387098216535,1590.4889450890755,1594.393947266706,1598.2752602691307,1604.520455783746,1610.4348410751868,1621.770679923409,1625.3519160398005,1626.7733258396247,1625.9366622064288,1624.89008755993,1633.1343973780351,1625.910896976293,1629.7219284095486,1626.974654874146,1636.6124192732905,1640.770933701786,1647.0070937647838,1651.1096474735766,1657.091010466758,1649.1385840141356,1645.6358670195605,1637.8687144845885,1649.266605478183,1662.1338436931871,1665.130638368812,1674.0535931177844,1679.2391496855596,1688.8630366059588,1690.8297498010866,1692.8706930604435,1713.9645906357212,1744.2440306907858,1792.3252697780763,1827.7180520744264,1856.4369865766475,1872.532636097752,1884.9903471347457,1910.4733919969483,1917.549542768752,1930.6112855687452,1926.2248508676537,1936.2735929194132,1950.5525034354223,1975.9713222205105,1999.6104046746,2023.3009732759224,2024.3792759166172,2018.999369556074,2006.725802455253,1990.684558318255,1994.6534629409723,2027.4384384459645,2042.237443970267,2049.3255587222948,2016.5313448782551,2023.438975707827,2031.558201832485,2046.1440092015855,2053.4862474537363,2055.7713554987213
77449,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,1257.8146598046906,1255.268025075294,1262.1704522643645,1274.9557540235949,1285.5260521335065,1295.665672989099,1296.650395022959,1300.868080869005,1301.8984864435972,1302.881427118966,1299.6931196385958,1296.0386518647476,1288.469114412703,1287.8878832090625,1296.9832467803217,1310.0969086286873,1316.3141065043512,1308.568280512702,1300.912473935542,1295.072347090481,1292.66910014795,1288.7319459900284,1279.2199424095625,1270.8261438657578,1270.15985064791,1280.8045208170322,1290.962296896609,1297.7871792749977,1299.4292072152668,1305.3194828072633,1313.028807879174,1314.471319048237,1318.9365861242095,1318.3603427109124,1325.9042199530195,1327.0610062241103,1338.2424603408026,1342.9477737245434,1346.339152378132,1347.9778785102346,1353.781015306903,1360.93419379159,1361.964964583565,1362.7113921943494,1358.9474394530348,1356.220523639077,1356.9886319279929,1353.2592348476662,1350.062265198501,1348.4724433721997,1354.8704171744982,1359.6485547515122,1367.652345037592,1372.0605492107422,1380.0440290851352,1377.1926800544925,1378.57267257919,1375.0469526597185,1372.524410059703,1373.5535737970415,1381.286564724041,1390.9623807990083,1402.0966894131657,1398.546294735319,1390.2751686616864,1390.3011597940058,1403.5232532063155,1422.4901416720045,1432.2323547015512,1431.1276114598263,1437.3271323514,1448.1878336447508,1458.760895867522,1465.8488884306605,1471.032904693114,1490.8074918614227,1527.0798516231628,1565.8962305483565,1605.220723165827,1614.2312941466662,1619.76508144448,1631.1333417557048,1636.6508621296102,1656.2620099799228,1650.745899710978,1677.1149583318347,1697.2404202234386,1720.4213675058909,1698.9304234198928,1697.8516314275107,1735.0153890929291,1802.0883420700327,1802.928429509394,1790.1600217522457,1752.9508503894065,1749.6978996617263,1738.2179861979157,1747.305840241247,1758.407294775605,1758.8910748039937,1762.9808791392484,1771.751591174235,1779.3384024133602,1795.3845820068957,1799.631139589362
77084,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,,,,,,,,,,,,,,,,,1258.9924534466363,1245.886190980309,1250.5365009044604,1260.4656995925204,1265.2939595213995,1262.4055129589149,1256.4260319402092,1254.0179286146404,1251.2795710814123,1252.4153299370798,1265.4170468025752,1269.9467419015282,1278.865847626312,1281.322990352982,1288.1396576461443,1290.21803542677,1306.1621827638528,1317.665129554067,1328.7300195559471,1318.4044597566574,1314.7697173871366,1310.4490482341876,1309.6773262487436,1317.9684474883247,1322.5167784955513,1331.3429300415114,1326.3934943384947,1331.2317508736642,1334.9852858436282,1333.47967983096,1341.9955952056782,1341.381470249844,1345.8139825330677,1332.5407902737848,1343.3344603218536,1356.1847040452178,1375.9430906388202,1374.2381929344065,1377.9907609178035,1376.000125220212,1372.755567016069,1366.61106170851,1367.6965700709748,1373.615421455075,1377.0773773788846,1381.8974875627391,1390.2300674254288,1389.363897596301,1392.952961000603,1397.4419401271066,1408.9132265540654,1415.327187368093,1424.3931095633016,1436.1573135247827,1431.4018883467131,1430.4855928436036,1427.5341744824443,1435.367021829893,1441.8424354805345,1454.1420260066625,1491.939425731848,1523.871978139172,1574.2884290185762,1619.4434969743972,1653.5361173965027,1649.885980879356,1633.7102374545789,1637.9680898991633,1654.7182488623623,1672.4015556689617,1680.8028057240692,1694.1738087390231,1710.4917243303637,1729.0265616569548,1744.1021967585316,1726.4037946764429,1722.5410383687938,1701.0656681275598,1710.7877854781484,1701.2175195687848,1706.9000636502997,1706.067787257884,1723.7223200270428,1735.484669605965,1752.132904237182,1756.9903234993656,1754.4295160595682,1757.602010646453,1755.031490015361
11385,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,2087.5270843542357,,2149.9242522176696,2166.2636978114047,2148.9928856397355,2190.098590663059,2264.9667154092986,2297.9009165932744,2267.061704891128,2225.8900597492384,2188.28767356946,2189.3470387304583,2255.28377072397,2267.36974971921,2296.9999529002107,2272.544133770503,2282.492009139728,2313.009450540561,2334.460177809979,2378.91044942648,2397.294201281098,2357.959208546377,2338.5756270782895,2319.1708873161115,2344.361311624835,2345.0766325036943,2333.9067668124885,2343.39574731235,2332.2285297605845,2351.6431601351037,2346.7606154580044,2391.4482353885464,2366.9753754223325,2376.8141179667996,2349.812498667744,2340.667650568317,2309.4949644028893,2311.3902280710354,2326.9186873489643,2358.4724286814003,2367.4564389822563,2382.3846710777743,2386.107852213686,2401.5251931345742,2419.898399284853,2420.804473714676,2420.254365648151,2400.882443808336,2419.3924529994074,2407.5373017488805,2422.886151189401,2405.45904275642,2456.5683932434094,2484.3020541422275,2500.881705240765,2489.4937705627635,2483.1514301705306,2506.192072452819,2503.488359908173,2508.742408070375,2534.247262778664,2530.3462456776633,2503.7724402159643,2488.180224740394,2480.87098967225,2501.785904319356,2449.236462176784,2418.6857417088436,2390.021781430226,2369.1073495148216,2340.7688818590564,2327.3813654152204,2311.684516741017,2319.5122760701743,2301.040323095299,2336.0689447552268,2372.0768700633903,2424.3462785061574,2465.1150458813095,2511.387794531576,2562.603143368569,2590.9073313635085,2611.770395598791,2615.215007700752,2619.2857813859796,2627.9763690574914,2676.1793976648646,2745.5869309514655,2847.533755939685,2911.4462852677466,2985.851426863814,3003.598570445067,3015.214534378147,2978.853756746152,2935.808220200422,2895.699421422981,2873.2090252418966,2881.906360652963,2913.5462177355,2963.9641343055728,3005.735342405289,3034.4138220075247,3064.47650278584,3079.5857827731975
78660,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,1399.372677763328,1411.3911487931086,1396.5622654076778,1390.741122004435,1403.0656523636524,1419.808971247087,1435.618027034272,1444.1844849144422,1440.3094461426772,1438.0306918946276,1436.6723796828437,1447.2878487999114,1454.9227354086916,1463.293669095585,,1467.636140734337,1469.8785094965117,1490.119258344428,1507.8061758896547,1510.3513457503866,1502.8087059415247,1496.555656218606,1489.1005511937294,1474.891662224177,1463.5201740389823,1474.2612777353056,1498.9386843973252,1517.7885476222775,1514.8642857567522,1515.9097524882868,1511.232116269049,1525.529114693808,1531.5020214038384,1530.804884998314,1524.436969590415,1514.2036147586011,1515.9517584083003,1527.6184567220562,1538.6328343869204,1553.3930490983412,1555.4768993364112,1562.645833263416,1560.5709807544597,1563.9878145406317,1566.244589686674,1567.9126720703523,1574.190973530768,1574.6008455761566,1570.3766751948997,1572.348386058179,1576.4638829329788,1592.503297532463,1592.5171710914742,1597.0883408525983,1602.076108922286,1605.509037082648,1604.8921966667383,1600.6421438413429,1604.7636287665605,1610.4546495280442,1618.530408314086,1624.5290618512151,1642.9196815871944,1644.985989337299,1640.1894002883298,1621.5366132313206,1635.1222972934306,1640.10002905008,1652.337437226007,1651.0370833264335,1660.19481047972,1658.214707473163,1671.1048280910036,1665.1593969954115,1675.0034736835726,1689.6903167393668,1749.1817459988972,1811.6122024044664,,,1959.7992801057217,2004.0815604060865,1999.3828583990744,2014.4636072231872,2007.489667742408,2023.4993849264551,2040.9096515951096,2052.417649822381,2067.370071620888,2078.63021410226,2097.0309657185353,2086.866256302822,2085.9830849255263,2077.185133051815,2101.797504383209,2087.2195302732794,2107.4918238313526,2103.020690365419,2109.932132464088,2099.0659122493716,2110.7861945809896,2112.7922098300664,2113.710514638901,2098.9394329704455,2094.4354421013686
77433,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,1332.3843328080272,1328.107407713286,1334.3252904001754,1342.5071071584855,1343.204774061344,1349.3450478677742,1357.2580385877518,1377.8627945719988,1382.6507495385945,1379.4855108725274,1365.5844301653713,1357.9291725255184,1360.8461315016068,1366.684548356913,1389.2257964944934,1388.4903695974433,1386.723305868018,1367.0648259387146,1365.0514913049803,1365.9210413605026,1370.6237256773045,1370.3617178914533,1356.28331514297,1343.7122423466228,1345.722268766324,1367.379600466168,1377.119661067069,1376.3956120883015,1377.4021369105617,1385.320463502754,1394.04947330747,1400.77667163293,1408.967268313678,1425.9182998495048,1429.2259494997843,1435.7498206586486,1432.1157254517782,1449.3072178364805,1462.4171606725645,1462.914145106488,1452.6958473891464,1441.9794114980134,1444.9629956419744,1446.2234128803611,1451.9269520324117,1450.9399665924198,1434.314958966684,1434.2572679922316,1435.170141549968,1449.716803822413,1441.8082330661198,1451.0634628383034,1466.1186781366669,1484.4597480595617,1487.798848682195,1478.6725167108495,1476.6207335633478,1481.6797651772422,1480.0562811955897,1480.328477457278,1477.6831214779236,1485.758221869791,1503.2666014445713,1510.055902880733,1511.259567146191,1499.3315802326151,1501.7268637657007,1516.0698581202143,1535.8773983690191,1546.857858816307,1569.6165032428307,1578.650090467381,1587.0488969584317,1565.4868107974658,1551.4483973496936,1567.294993064813,1603.8954097738413,1661.1384529582035,1705.892260436185,1747.0159864451373,1776.2468341874307,1783.2587097919568,1796.43315056996,1810.6504906540115,1823.957358559436,1825.5793522800925,1825.627212845921,1842.618102577359,1861.8114988082416,1872.2551597927704,1891.948619536804,1905.130185568249,1889.018620292345,1879.0246164166529,1879.1303831456264,1881.20455027516,1885.6959354642777,1884.894985628464,1880.5320122342953,1870.035369048124,1863.111028714628,1892.5110659332904,1922.7592948631009,1945.5818226032209,1975.6725555146609
90650,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.5111510445456,1850.64592231743,,1934.4765643489932,1936.38146178423,1975.8697150357675,1965.18404006016,1978.380714378881,1982.5946068738424,1993.746333536738,1978.9710712332428,1998.0937704935145,1950.515878707607,1940.191810635092,1972.4586845643876,2033.9985344577672,2071.510791524763,2042.46189401813,2066.752548511995,2081.4441602614907,2090.637941272813,2088.239929796857,2149.433320092613,2156.6163529415103,2218.829473162108,2152.6071192209906,2175.920094542821,2155.5594323327373,2207.866805033718,2278.557241124777,2333.4452058557126,2361.523713179032,2301.7118347175365,2331.753164421038,2337.648276313712,2389.6674011653745,2372.980175672751,2437.89875223177,2469.8851017406955,2479.0518968773754,2506.7719843116324,2538.825478792268,2578.8004415225064,2553.606595856135,2569.393544076896,2582.7984529134533,2600.039525328418,2518.195665941597,2540.159319962085,2550.3907285827263,2632.5863531638515,2648.8559787211307,2822.0384863452236,2889.66167656398,2904.3621005109535,2765.907936507936
37013,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1139.424798242006,1142.763414655049,1158.8679792362946,1174.4073029945478,1177.2167162471185,,1198.0396074457676,1220.455342920237,1220.5780914154925,1212.7903870341752,1191.115533563154,1200.9566869968403,1202.312283511941,1220.3042603984236,1220.4564962940626,1231.444627493103,1253.541273354166,1272.460507936953,1281.828204293713,1274.278363898181,1266.5924132915943,1279.7279128182786,1269.954342828532,1277.047980353046,1283.394459320713,1290.1986345435098,1302.9495300506323,1311.020031636409,1330.5536961375506,1336.4410860712758,1337.1248568432025,1339.1108705885142,1337.3993287568594,1321.745422874493,1323.591244007266,1302.6993156562787,1319.7751173689576,1322.155682913905,1357.7316996646955,1371.914772159549,1384.3455644212106,1378.5049326671506,1365.792656788921,1366.605162512585,1366.6001722425342,1361.6708803333815,1342.9680656418016,1348.408353456697,1368.0033243745904,1379.5468619190135,1394.5967223738514,1391.8865254615207,1406.530723737214,1403.3661011613435,1412.600696879233,1430.317286405486,1437.2276371037635,1426.6075110205245,1414.569228200873,1409.4204485747182,1428.6478863977406,1433.0318470881134,1443.932886865275,1460.2094503883266,1464.133002304107,1473.5240376695306,1464.3357635795564,1485.087244046486,1494.5274670435492,1497.805658695209,1501.8001955969146,1497.5704044176357,1507.3549154417867,1503.437013097032,1519.642926680679,1527.414670318846,1544.1606889834843,1566.7623475250389,1613.704814482723,1647.8378321307357,1662.7362624428451,1665.4698791224737,1673.0173900273553,1686.8573182624357,1715.8454406246085,1739.3142373687854,1765.0015082520356,1777.7672260033255,1795.681325870487,1839.9774266448487,1888.8976265737524,1913.445401149664,1895.8126695506892,1876.8358911816272,1858.5882055748848,1873.0263795748333,1868.9001832026763,1873.9550569116216,1857.4735219828365,1878.3994796309005,1903.2282974629695,1907.3626244444663,1894.4314680923137,1883.210439268555,1881.8026311379251
10467,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,,,,,,,,,,,,,,,,,1453.4347548531068,1477.78833318639,1507.3940962014983,1493.9742824379966,1493.9598348314255,1497.058410533551,1492.8269498275558,1504.358264863847,1572.149102315029,1592.1435892766765,1633.8343756665358,1597.1919097717616,1634.5827545087843,1620.697887792365,1641.7293839717702,1577.703511757059,1572.1623794896918,1615.219537041129,1661.644953777395,1674.5828657851887,1612.8910885614016,1642.6411325812778,1669.629068889069,1745.829270580225,1765.0116706068595,1750.6444252449214,1744.605937201765,1738.3793863115748,1773.839053301586,1774.3654064590094,1757.187137533969,1799.5690456018403,1795.2442431705094,1809.092800297841,1785.2402171958397,1779.4257439513465,1805.148444700916,1795.0852690949473,1830.716948030652,1811.7254010198944,1864.4159907725427,1878.5881352505053,1888.54241568106,1870.8668967241915,1865.3014026521216,1876.4583130213823,1875.1563244876795,1854.863254962531,1835.9765108223928,1818.060503637,1867.5706877563111,1888.2182686938852,1940.440045878024,1952.8912855545511,2017.042962204005,1966.0177300268456,1970.3746378539713,1928.5798597649195,1983.6823799789693,1957.636783409739,1969.3742768878728,1971.5370224105156,1968.2275765619927,1956.5762707459985,1985.3345871776191,2015.5803270054148,2019.0547115379725,1945.878135019232,1925.208777800038,1989.9842456975543,2038.992767570327,2063.291940073074,2056.85728026053,2065.6536939112007,2148.60049838904,2171.091029445097,2171.6133153746982,2138.631690079441,2119.035488649342,2145.6422953185697,2155.617717500842,2172.3466107926897,2160.962747777881,2110.533202559049,2180.3236547244533,2276.3722897830226,2334.204728019728,2353.6864023448434,2423.8888888888887
11226,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1944.6098912416471,1971.6086760207272,2044.189151248178,2061.7341256083996,2076.4922594021787,2057.344848833663,2075.7518625030893,2089.4372757056094,2124.669750621777,2129.783497860931,2123.6967167014036,2102.908460864849,2103.693979969623,2106.115059427193,2149.5029205103574,2168.0925380186513,2184.617942613585,2223.757470829547,2271.9848111932056,2297.257283103894,2261.0379493138475,2227.234958594832,2232.9706914099693,2228.5100409768816,2233.4344215718434,2232.522594120879,2249.136187536212,2239.588966738634,2244.732511405098,2270.955099178341,2292.110931950486,2293.330919230518,2281.8245902823346,2264.435843861401,2231.4605746387483,2220.8130340961184,2231.74372391346,2265.888690387225,2289.786059745391,2312.156802754112,2327.062003860811,2338.912023185529,2354.487076987391,2373.471918094983,2379.035920215806,2366.890926546275,2355.039782498729,2334.8061734040143,2333.6877208884225,2329.5419224177567,2352.526957529888,2349.0012907088885,2369.422440580015,2374.9496947310927,2401.3305792709302,2425.1681603788415,2441.920454084962,2430.037396578387,2391.562408191578,2362.4516939571618,2384.512151353634,2387.378650003916,2420.3404378741416,2410.1131308669856,2418.0346281249313,2400.841365386655,2401.20402048233,2376.64561053561,2343.8476037340756,2310.2327305944095,2279.515950147879,2230.867431984319,2193.1107329233023,2202.0077901533755,2232.8273177545807,2268.148716584191,2295.491739115963,2328.0515437930408,2370.210546239923,2387.70433676771,2419.58253179198,2418.5530334652058,2431.055876936912,2428.4177534569385,2460.0626144828375,2501.3124491082576,2538.7255108449663,2576.1542402802293,2614.534359222829,2670.036995959897,2701.9472861248605,2711.1198028556373,2718.573197921119,2728.780469730939,2721.837723352611,2695.1647268203747,2680.6837004478134,2676.791283767177,2697.41470221409,2706.0807009343325,2726.3810167025676,2753.9661591404106,2770.4030051699997,2785.3201367435504,2762.4357130436942
